taylor_n,interval_range,count,interval_range_RMSE,b_RMSE,cel_RMSE,cea_RMSE,cpa_RMSE,Î¼l_RMSE,Î¼a_RMSE
1,0.05,20,0.223606797749979,4.353695864139948 + 0.0im,0.010285512380109463 + 0.0im,0.00846850016285949 + 0.0im,0.000968094015452286 + 0.0im,0.19530489668144557 + 0.0im,0.19540380703983462 + 0.0im
2,0.05,20,0.223606797749979,5.29981306526647 + 0.1378350321462798im,0.006077774397700981 + 0.001326545336739087im,0.004251466752698268 - 0.0004643626703493249im,0.006883048550967665 - 6.275088632648681e-39im,0.1981838134172189 + 8.076318425432317e-40im,0.19756809902191952 + 9.347884009586963e-70im
3,0.05,20,0.223606797749979,4.09954614932845 + 0.0im,0.009363850707795253 + 0.0im,0.006426435835578368 + 0.0im,3.087707361899152e-5 + 0.0im,0.19627973057799175 + 0.0im,0.19628729250772148 + 0.0im
4,0.05,20,0.223606797749979,5.936366655611613 - 0.43744651099112675im,0.00238164493935404 + 0.010755571493160752im,0.001138539938768749 - 0.009331529591859344im,5.8951320833159903e-5 - 0.011426914251466096im,0.20224341571401225 + 0.00019535069158950336im,0.19858876507612858 - 9.072404436959924e-76im
5,0.05,20,0.223606797749979,3.7550381331289113 + 0.0im,0.008273304267834515 + 0.0im,0.00471752081453845 + 0.0im,2.873448660584789e-7 + 0.0im,0.1981397294807318 + 0.0im,0.19813983443665745 + 0.0im
6,0.05,20,0.223606797749979,4.120553772031333 - 0.24280930557380656im,0.009828933504353014 + 0.013071783115905367im,0.004404028734526119 + 0.00941272414538531im,0.000303744601626869 - 0.018523245679080383im,0.20927850862913586 - 0.00011281511490917912im,0.19928896032091634 + 0.0im
7,0.05,20,0.223606797749979,3.27699686141278 + 0.0im,0.007099295667083761 + 0.0im,0.0029675270903310328 + 0.0im,1.0929826679564805e-9 + 0.0im,0.19871616495416444 + 0.0im,0.1987161654869388 + 0.0im
1,0.1,20,0.31622776601683794,4.336953342337636 + 0.0im,0.009837629015520183 + 0.0im,0.00878182121744358 + 0.0im,0.0010085192938302282 + 0.0im,0.20190066521934358 + 0.0im,0.20200348758516867 + 0.0im
2,0.1,20,0.31622776601683794,4.888295961616802 + 0.2559511997999187im,0.008273938651864127 + 0.0015354727600351847im,0.006205793047921493 - 0.0009025752168166194im,0.00555386286961416 - 1.5386816792703495e-40im,0.19738926503931056 - 1.288323397274089e-40im,0.19698183497055957 + 0.0im
3,0.1,20,0.31622776601683794,3.974113199048851 + 0.0im,0.009272248911071798 + 0.0im,0.0062912194407032645 + 0.0im,3.2397307932248156e-5 + 0.0im,0.20211571058535846 + 0.0im,0.20212320912296788 + 0.0im
4,0.1,20,0.31622776601683794,5.697896879601071 + 0.25716355840234767im,0.004935947903751914 + 0.012714981355442192im,0.0005786717360587055 - 0.009173079258176885im,7.052991396968058e-6 + 0.014803796864820199im,0.20136666737669262 + 0.0001211801090472038im,0.19756578150282875 + 0.0im
5,0.1,20,0.31622776601683794,3.7335277546746384 + 0.0im,0.00783245517808084 + 0.0im,0.005020680126015773 + 0.0im,3.3577318744128e-7 + 0.0im,0.20413025914436317 + 0.0im,0.2041303569192783 + 0.0im
6,0.1,20,0.31622776601683794,5.245013486174909 - 1.157536428124789im,0.00020904207359614786 - 0.014573227059469555im,0.0018768141854148463 - 0.008583223777136783im,0.003531178489088575 + 0.01874741335718831im,0.20950746215639834 + 0.0003748190928152465im,0.20073585798562432 + 0.0im
7,0.1,20,0.31622776601683794,3.373974099597921 + 0.0im,0.006930128138648034 + 0.0im,0.0036644670406322916 + 0.0im,1.2871867310373326e-9 + 0.0im,0.1947985294496328 + 0.0im,0.19479852992410135 + 0.0im
1,0.2,20,0.447213595499958,4.4808876403000575 + 0.0im,0.011008154163395055 + 0.0im,0.008666288905640921 + 0.0im,0.0010266349536229799 + 0.0im,0.19617206865126777 + 0.0im,0.19627161165677848 + 0.0im
2,0.2,20,0.447213595499958,4.924120506652648 + 0.11964631019589944im,0.006289832376078071 + 0.0021458763066066096im,0.0040810080946812755 - 0.001287276034356826im,0.007405382584386794 - 7.415719118632022e-37im,0.2014806949024114 + 1.5548132244600485e-36im,0.20075999179708565 + 3.857897833712517e-66im
3,0.2,20,0.447213595499958,4.080749044455685 + 0.0im,0.009630823128220714 + 0.0im,0.006516721071807374 + 0.0im,4.0976497409502396e-5 + 0.0im,0.19559536571164568 + 0.0im,0.19560306783261763 + 0.0im
4,0.2,20,0.447213595499958,4.550267018542024 + 0.4620427095886177im,0.0019523356049643119 - 0.009977840900312222im,0.006195538912734027 - 0.008387010973351625im,3.464181840811442e-5 + 0.01457043852546228im,0.2002207491664858 - 0.0003676125272923127im,0.19627293499263865 + 0.0im
5,0.2,20,0.447213595499958,3.5754837728902706 + 0.0im,0.008567094670578474 + 0.0im,0.004668495040478211 + 0.0im,3.47790200347078e-7 + 0.0im,0.20369516633055243 + 0.0im,0.20369524440549897 + 0.0im
6,0.2,20,0.447213595499958,5.610703334872239 + 0.30972402811801925im,0.10743204552409813 + 0.000518672043336609im,0.07814589846888133 + 0.0005087362628985447im,0.007541834789211389 - 0.013481430537100839im,0.2130878357194047 - 0.0005015218926655979im,0.20551049163770138 + 0.0im
7,0.2,20,0.447213595499958,3.4667321132296007 + 0.0im,0.007891828737762159 + 0.0im,0.003530060609520101 + 0.0im,2.186047469431762e-9 + 0.0im,0.1972456435198083 + 0.0im,0.19724564411973272 + 0.0im
1,0.25,20,0.5,4.405586515701222 + 0.0im,0.011475364973811988 + 0.0im,0.008624142477598297 + 0.0im,0.0010060535077323965 + 0.0im,0.199228278500055 + 0.0im,0.1993264201892792 + 0.0im
2,0.25,20,0.5,4.932745453236427 - 0.27485570472224824im,0.007095263829364128 - 0.0025735815292400317im,0.00626741399121437 + 4.485647550388805e-5im,0.00714703341413418 + 2.3140065650128124e-38im,0.2011571313560801 - 7.745283892366601e-38im,0.20053371881450258 + 0.0im
3,0.25,20,0.5,4.25022452007047 + 0.0im,0.009881771054533138 + 0.0im,0.006818734427269089 + 0.0im,5.062488329700261e-5 + 0.0im,0.20352469076936716 + 0.0im,0.20353358533501373 + 0.0im
4,0.25,20,0.5,5.5608265567262745 + 1.019645945363936im,0.0036698781144420076 + 0.011175481171045476im,0.0025155303141375556 - 0.0058231186628199625im,0.000245655475334 + 0.020131407260718735im,0.19754073040956538 + 0.00027996565954732146im,0.1912077803115625 + 1.2828580646239825e-75im
5,0.25,20,0.5,3.888055795732205 + 0.0im,0.009109981137465603 + 0.0im,0.005779037668190116 + 0.0im,7.538925828432519e-7 + 0.0im,0.2026629212962519 + 0.0im,0.20266307496063368 + 0.0im
6,0.25,20,0.5,5.450522256461242 - 0.15577752454992316im,0.05242996894781695 - 0.002687763545058168im,0.042615700141931626 - 0.0007568703180656718im,0.010459036117857097 - 0.006651424736771635im,0.2057861443422264 - 0.0002073776347647856im,0.1995465018850421 + 0.0im
7,0.25,20,0.5,2.95051238193777 + 0.0im,0.006861324180841812 + 0.0im,0.00404721447241021 + 0.0im,3.4236790356495236e-9 + 0.0im,0.20485769719261646 + 0.0im,0.20485769808452084 + 0.0im
1,0.5,20,0.7071067811865476,4.236801620935722 + 0.0im,0.01288823167554634 + 0.0im,0.008583490551576695 + 0.0im,0.0012882031493940593 + 0.0im,0.21336622565736046 + 0.0im,0.21346396401154127 + 0.0im
2,0.5,20,0.7071067811865476,5.750118574991547 - 0.2735502644986658im,0.006868908809974123 - 0.001886517212273im,0.0006863113422485226 + 0.003842425572808064im,0.007746063769575458 + 1.901598868551963e-5im,0.22340187870267428 + 9.795957641980065e-6im,0.22280018012115013 - 2.1280666487553428e-67im
3,0.5,20,0.7071067811865476,4.39339609999969 + 0.0im,0.01161882886129455 + 0.0im,0.007399478439195162 + 0.0im,9.630428646799918e-5 + 0.0im,0.21529839428226155 + 0.0im,0.2153041775366915 + 0.0im
4,0.5,20,0.7071067811865476,5.067669299131685 - 0.4207776065336242im,0.006482106681063607 - 0.011714874245999296im,0.0019365343728827164 + 0.009833813390692316im,0.001905319459895189 - 0.009712517389295135im,0.22515127152996725 - 0.00036238895443142235im,0.2202671495353691 + 0.0im
5,0.5,20,0.7071067811865476,3.7437037673871334 + 0.0im,0.00852784341730961 + 0.0im,0.005898033715482298 + 0.0im,2.9005520092095717e-6 + 0.0im,0.20685608096755956 + 0.0im,0.20685618279717252 + 0.0im
6,0.5,20,0.7071067811865476,6.140217476337521 + 0.7809869245591127im,0.050545357676114705 + 0.00019762414167785505im,0.04056956148759216 - 0.00034175638254277797im,0.011716178107119595 - 0.02547014898063978im,0.2266501156410739 - 0.0007798879472970486im,0.20501455952182163 + 0.0im
7,0.5,20,0.7071067811865476,3.9525828771949802 + 0.0im,0.008893185737296456 + 0.0im,0.005696653531180505 + 0.0im,4.5524471893537973e-8 + 0.0im,0.21557464268617496 + 0.0im,0.2155746451093439 + 0.0im
