data_set_num,interval_range,taylor_n,num_solutions,num_real_solutions,pred_parameters,sampled_parameters,sampled_u0
1,0.25,6,36,4,"[6.598000042554283, 0.011550000129138796, 0.01208999997372818]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
2,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
3,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
4,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
5,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
6,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
7,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
8,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
9,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
10,0.25,6,36,4,"[6.598000042554496, 0.011550000129139119, 0.012089999973728173]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
1,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
2,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
3,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
4,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
5,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
6,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
7,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
8,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
9,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
10,0.25,7,49,1,"[6.597999998407858, 0.01154999999580043, 0.012090000000710768]","[7.955777655215254, 0.014068821544070026, 0.009146149024456382, 0.004621996608079108, 0.20039699572151162, 0.007846559258849525]","[250.0, 5.0, 100.0]"
1,0.5,1,1,1,"[6.118821156099339, 0.010571057471031455, 0.012097871347695495]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,1,1,1,"[6.118821156099337, 0.010571057471031448, 0.012097871347695499]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,1,1,1,"[6.118821156099336, 0.01057105747103145, 0.012097871347695495]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,1,1,1,"[6.1188211560993375, 0.01057105747103145, 0.012097871347695497]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,1,1,1,"[6.118821156099335, 0.010571057471031448, 0.012097871347695495]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,1,1,1,"[6.1188211560993375, 0.01057105747103145, 0.012097871347695497]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,1,1,1,"[6.118821156099337, 0.010571057471031448, 0.012097871347695499]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,1,1,1,"[6.118821156099337, 0.010571057471031448, 0.012097871347695499]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,1,1,1,"[6.1188211560993375, 0.01057105747103145, 0.012097871347695497]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,1,1,1,"[6.1188211560993375, 0.01057105747103145, 0.012097871347695497]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,2,4,2,,"[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,3,9,1,"[6.5379342874744015, 0.011456692291967881, 0.012089540596480758]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,3,9,1,"[6.537934287474581, 0.01145669229196815, 0.012089540596480786]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,3,9,1,"[6.537934287474451, 0.011456692291967949, 0.0120895405964808]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,3,9,1,"[6.5379342874745205, 0.011456692291968055, 0.01208954059648077]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,3,9,1,"[6.537934287474415, 0.011456692291967892, 0.012089540596480819]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,3,9,1,"[6.537934287474418, 0.0114566922919679, 0.012089540596480835]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,3,9,1,"[6.5379342874744815, 0.011456692291967996, 0.012089540596480805]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,3,9,1,"[6.5379342874744815, 0.011456692291967996, 0.012089540596480805]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,3,9,1,"[6.537934287474407, 0.011456692291967881, 0.012089540596480798]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,3,9,1,"[6.5379342874744815, 0.011456692291967996, 0.012089540596480805]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,4,16,4,"[6.608055957063112, 0.011565158435778572, 0.012090110335069118]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,4,16,4,"[6.608055957063467, 0.011565158435779105, 0.012090110335069175]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,4,16,4,"[6.608055957063288, 0.011565158435778837, 0.012090110335069145]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,5,25,1,"[6.596890347350948, 0.011548343715824768, 0.012089985938425966]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,5,25,1,"[6.596890347350575, 0.011548343715824213, 0.012089985938425961]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,5,25,1,"[6.596890347350927, 0.011548343715824746, 0.012089985938425928]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,6,36,4,"[6.5981073848565766, 0.011550159494775019, 0.012090001459123432]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
1,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
2,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
3,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
4,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
5,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
6,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
7,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
8,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
9,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
10,0.5,7,49,1,"[6.5979910093701015, 0.011549986675949279, 0.01208999987351416]","[8.728003529776204, 0.007657079392561984, 0.007392111017980519, 0.0055070812925458925, 0.2117750041383606, 0.008514890607179186]","[250.0, 5.0, 100.0]"
